,Date,Open,High,Low,Close,Crypto
3488,2021-03-08,187.06,195.0,180.12,188.82,LTC
3489,2021-03-09,51883.0,54818.0,51448.0,54313.0,BTC
3490,2021-03-09,1791.26,1857.47,1772.89,1825.0,ETH
3491,2021-03-09,189.15,203.34,188.48,199.17,LTC
3492,2021-03-10,54313.0,57357.0,53235.0,56932.0,BTC
3493,2021-03-10,1825.01,1877.07,1759.34,1816.73,ETH
3494,2021-03-10,199.31,208.14,191.91,203.23,LTC
3495,2021-03-11,56954.0,57918.0,54416.0,57721.0,BTC
3496,2021-03-11,1819.86,1842.34,1728.14,1840.5,ETH
3497,2021-03-11,203.71,205.09,191.24,200.8,LTC
3498,2021-03-12,57721.0,58118.0,55160.0,56981.0,BTC
3499,2021-03-12,1842.0,1846.61,1723.95,1758.32,ETH
3500,2021-03-12,200.79,223.39,198.77,223.15,LTC
3501,2021-03-13,56990.0,61732.0,56144.0,61002.0,BTC
3502,2021-03-13,1758.4,1942.37,1730.86,1911.71,ETH
3503,2021-03-13,223.39,229.92,212.94,225.83,LTC
3504,2021-03-14,61002.0,61674.0,59348.0,60173.0,BTC
3505,2021-03-14,1912.12,1938.52,1840.0,1876.05,ETH
3506,2021-03-14,226.0,228.45,215.1,218.87,LTC
3507,2021-03-15,60259.0,60738.0,55030.0,56398.0,BTC
3508,2021-03-15,1876.5,1893.09,1743.24,1791.32,ETH
3509,2021-03-15,218.85,222.26,197.79,202.84,LTC
3510,2021-03-16,56398.0,56952.0,53311.0,56379.0,BTC
3511,2021-03-16,1792.84,1818.0,1712.6,1797.41,ETH
3512,2021-03-16,202.84,205.01,191.28,199.97,LTC
3513,2021-03-17,56392.0,58197.0,54298.0,57834.0,BTC
3514,2021-03-17,1797.61,1839.1,1744.97,1817.47,ETH
3515,2021-03-17,199.75,206.54,194.54,202.91,LTC
3516,2021-03-18,57706.0,60040.0,57145.0,57533.0,BTC
3517,2021-03-18,1816.89,1848.95,1759.83,1774.49,ETH
3518,2021-03-18,202.9,208.01,199.4,199.6,LTC
3519,2021-03-19,57533.0,59436.0,56303.0,58426.0,BTC
3520,2021-03-19,1773.24,1839.98,1736.33,1817.85,ETH
3521,2021-03-19,199.39,204.9,195.98,201.1,LTC
3522,2021-03-20,58404.0,59909.0,57890.0,58466.0,BTC
3523,2021-03-20,1814.56,1868.08,1803.41,1827.61,ETH
3524,2021-03-20,201.05,206.15,199.0,201.28,LTC
3525,2021-03-21,58466.0,58792.0,55578.0,57792.0,BTC
3526,2021-03-21,1827.62,1837.75,1753.97,1800.0,ETH
3527,2021-03-21,201.28,203.38,192.37,198.03,LTC
3528,2021-03-22,57788.0,58373.0,54316.0,54610.0,BTC
3529,2021-03-22,1800.06,1810.37,1678.35,1678.35,ETH
3530,2021-03-22,198.23,198.75,186.48,186.6,LTC
3531,2021-03-23,54610.0,55816.0,53100.0,54346.0,BTC
3532,2021-03-23,1661.92,1720.84,1654.01,1672.34,ETH
3533,2021-03-23,185.11,189.5,182.95,183.54,LTC
3534,2021-03-24,54445.0,57159.0,53294.0,54175.0,BTC
3535,2021-03-24,1669.76,1740.91,1584.09,1615.01,ETH
3536,2021-03-24,183.88,196.89,180.63,188.18,LTC
3537,2021-03-25,54175.0,54175.0,50485.0,51989.0,BTC
3538,2021-03-25,1609.15,1620.81,1546.91,1603.41,ETH
3539,2021-03-25,187.43,188.09,167.79,174.38,LTC
